"Gene ID","name","HRT D7 T3","HRT D7 P5","HRT D4 T1","HRT D4 T3","HRT D4 P2","HRT D7 T1","HRT D7 T4","HRT D7 P4","HRT D7 P6","HRT D4 T2","HRT D4 P1","HRT D4 P3"
"ENSMUSG00000060565.5","Gm5591",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083561.3","Gm5942",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001823.5","Hoxd12",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099901.1","Gm18732",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026420.16","Il24",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000113505.1","ENSMUSG00000113505.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050761.4","Gp1bb",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106573.1","ENSMUSG00000106573.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097199.1","Gm26991",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108900.1","ENSMUSG00000108900.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028640.11","Tfap2c",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000107230.1","ENSMUSG00000107230.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083846.1","Gm13797",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088752.1","Mir1934",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079165.10","Sap25",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059375.5","Vmn1r33",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000115749.1","ENSMUSG00000115749.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000047995.7","Cypt4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088366.1","Gm23496",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000044361.16","BC024139",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066652.5","Lefty2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000063137.5","Olfr177",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096365.4","Olfr1463",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084004.1","Gm12047",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084836.1","Gm16274",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000075159.5","Olfr1110",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086798.1","Gm16222",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031688.4","Pou4f2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000077146.1","Gm22939",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050164.11","Mchr1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083264.1","Gm11461",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000107498.1","ENSMUSG00000107498.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028137.9","Celf3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086607.7","4930511M06Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104194.1","RP24-229G16.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000036198.12","Arhgap36",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105159.1","ENSMUSG00000105159.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100620.1","Gm28277",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117378.1","ENSMUSG00000117378.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087606.1","Gm16121",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114076.1","ENSMUSG00000114076.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102732.1","RP23-346I1.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093162.1","Gm22184",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098210.1","Gm5224",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095712.1","Gm26465",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114724.1","ENSMUSG00000114724.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088437.1","Gm24198",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000007107.6","Atp1a4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096126.1","Gm22307",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065347.1","Gm25583",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054988.9","Agtr1b",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000055937.1","Krt28",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000078253.3","Krtap16-1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093793.1","Gm24091",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083138.3","Cyp4a29",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105174.1","ENSMUSG00000105174.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114497.1","ENSMUSG00000114497.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000049653.5","Spatc1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091938.3","Gm2564",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101391.3","Olfr1217",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081089.1","Gm14624",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093325.1","Gm26061",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088864.1","Gm23068",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104460.1","RP23-242N11.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100815.1","Gm29112",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116716.1","ENSMUSG00000116716.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114570.1","ENSMUSG00000114570.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100672.1","Gm28404",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100706.6","Gm19744",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089815.7","Gm5083",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087071.1","Trp73os",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109839.1","ENSMUSG00000109839.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098365.1","Gm27647",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088600.1","Gm24189",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100608.1","Gm21996",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112783.1","ENSMUSG00000112783.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105784.1","ENSMUSG00000105784.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000055874.6","Foxi3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067001.11","Serpinb7",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097608.1","Gm7952",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000034923.9","Ly6g6f",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118325.1","ENSMUSG00000118325.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116795.1","ENSMUSG00000116795.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000115128.1","ENSMUSG00000115128.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000023333.8","Gcm1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000076444.1","Mir761",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000075599.4","Smok3a",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106957.1","ENSMUSG00000106957.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098107.1","Gm27007",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109755.1","ENSMUSG00000109755.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088203.1","Gm23755",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000080898.1","Gm14836",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027077.7","Smtnl1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000019900.19","Rfx6",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097372.1","Gm26876",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050650.7","Mrgpra1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110741.1","ENSMUSG00000110741.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065727.1","Gm26164",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101987.1","Gm21268",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090462.7","1700091H14Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114204.1","ENSMUSG00000114204.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109174.1","ENSMUSG00000109174.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114861.1","ENSMUSG00000114861.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000080938.1","Gm6062",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090436.2","Vmn2r75",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028938.9","Galntl5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103503.1","RP23-429I18.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108630.1","ENSMUSG00000108630.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000049843.6","Olfr1102",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082612.1","4930503H13Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114157.1","ENSMUSG00000114157.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059206.4","Vmn1r71",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084157.2","Gm15576",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053783.5","1700016K19Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048655.17","Ccdc169",0,0,0,0,0,0,0,0,0,0,0,0
